iter	Passed	Remaining
0	3	4305
1	7	4228
2	10	4156
3	14	4125
4	17	4097
5	20	4078
6	24	4057
7	27	4043
8	31	4042
9	34	4047
10	38	4037
11	41	4026
12	45	4017
13	48	4017
14	51	4001
15	55	3999
16	58	3988
17	62	3981
18	65	3969
19	68	3952
20	71	3927
21	74	3907
22	77	3888
23	80	3871
24	84	3857
25	87	3842
26	90	3826
27	93	3814
28	96	3802
29	99	3788
30	102	3775
31	105	3763
32	108	3756
33	111	3747
34	114	3737
35	118	3727
36	121	3719
37	124	3710
38	127	3703
39	130	3696
40	133	3690
41	136	3683
42	139	3678
43	143	3675
44	146	3670
45	149	3664
46	152	3658
47	156	3657
48	159	3654
49	162	3652
50	165	3649
51	169	3647
52	172	3643
53	175	3639
54	179	3638
55	182	3634
56	185	3630
57	188	3627
58	191	3620
59	194	3614
60	198	3609
61	201	3608
62	204	3603
63	207	3598
64	210	3596
65	214	3593
66	217	3590
67	220	3585
68	223	3582
69	227	3577
70	230	3575
71	233	3573
72	236	3570
73	240	3567
74	243	3564
75	246	3563
76	250	3560
77	253	3557
78	256	3553
79	259	3549
80	263	3546
81	266	3542
82	269	3538
83	272	3534
84	275	3531
85	279	3528
86	282	3526
87	285	3524
88	289	3522
89	292	3519
90	295	3517
91	299	3513
92	302	3510
93	305	3507
94	308	3504
95	312	3502
96	315	3498
97	318	3494
98	321	3492
99	325	3491
100	328	3491
101	332	3488
102	335	3485
103	338	3482
104	342	3478
105	345	3475
106	348	3472
107	351	3470
108	355	3467
109	358	3467
110	362	3466
111	365	3465
112	369	3465
113	372	3462
114	376	3459
115	379	3456
116	382	3452
117	385	3448
118	389	3449
119	392	3446
120	395	3442
121	399	3438
122	402	3434
123	405	3431
124	408	3427
125	411	3422
126	415	3419
127	418	3416
128	421	3414
129	425	3410
130	428	3406
131	431	3403
132	434	3399
133	438	3396
134	441	3391
135	444	3388
136	447	3385
137	451	3383
138	454	3379
139	457	3375
140	460	3369
141	463	3365
142	466	3361
143	469	3356
144	472	3352
145	475	3348
146	479	3343
147	482	3339
148	485	3336
149	488	3331
150	491	3327
151	494	3324
152	498	3320
153	501	3316
154	504	3312
155	507	3308
156	510	3306
157	514	3302
158	517	3298
159	520	3295
160	523	3291
161	526	3288
162	530	3286
163	533	3283
164	536	3279
165	540	3277
166	543	3273
167	546	3269
168	549	3266
169	553	3262
170	556	3260
171	559	3257
172	562	3253
173	566	3250
174	569	3246
175	572	3243
176	575	3239
177	579	3236
178	582	3233
179	585	3229
180	588	3225
181	591	3221
182	594	3218
183	598	3214
184	601	3211
185	604	3207
186	607	3204
187	610	3200
188	614	3197
189	617	3194
190	620	3190
191	624	3188
192	627	3185
193	630	3181
194	633	3178
195	636	3175
196	640	3171
197	643	3168
198	646	3165
199	650	3162
200	653	3158
201	656	3155
202	659	3152
203	662	3149
204	666	3146
205	669	3142
206	672	3139
207	675	3135
208	678	3131
209	682	3128
210	685	3124
211	688	3121
212	691	3117
213	694	3114
214	698	3111
215	701	3107
216	704	3104
217	707	3100
218	710	3096
219	714	3093
220	717	3090
221	720	3087
222	723	3083
223	727	3081
224	730	3078
225	733	3074
226	736	3071
227	740	3067
228	743	3063
229	746	3059
230	749	3056
231	752	3052
232	755	3049
233	759	3045
234	762	3042
235	765	3038
236	768	3035
237	771	3032
238	774	3028
239	778	3025
240	781	3021
241	784	3017
242	787	3014
243	790	3011
244	794	3007
245	797	3005
246	800	3002
247	804	2999
248	807	2995
249	810	2992
250	813	2989
251	817	2986
252	820	2983
253	823	2979
254	826	2976
255	830	2973
256	833	2970
257	836	2966
258	839	2963
259	842	2959
260	846	2956
261	849	2953
262	852	2950
263	855	2946
264	859	2943
265	862	2939
266	865	2935
267	868	2932
268	871	2928
269	874	2925
270	877	2922
271	881	2918
272	884	2914
273	887	2911
274	890	2908
275	893	2905
276	896	2901
277	900	2897
278	903	2894
279	906	2891
280	909	2888
281	912	2884
282	916	2881
283	919	2877
284	922	2874
285	925	2870
286	928	2867
287	932	2864
288	935	2861
289	938	2858
290	941	2854
291	945	2851
292	948	2848
293	951	2845
294	954	2842
295	958	2838
296	961	2835
297	964	2832
298	967	2829
299	971	2826
300	974	2823
301	978	2822
302	982	2819
303	985	2816
304	988	2814
305	992	2811
306	995	2808
307	999	2805
308	1002	2802
309	1005	2799
310	1008	2795
311	1011	2792
312	1014	2788
313	1018	2785
314	1021	2782
315	1024	2778
316	1027	2775
317	1031	2772
318	1034	2769
319	1037	2765
320	1040	2763
321	1044	2759
322	1047	2756
323	1050	2753
324	1053	2749
325	1057	2746
326	1060	2743
327	1063	2739
328	1066	2736
329	1069	2733
330	1073	2729
331	1076	2726
332	1079	2723
333	1082	2719
334	1085	2716
335	1089	2713
336	1092	2709
337	1095	2706
338	1098	2702
339	1101	2699
340	1105	2696
341	1108	2692
342	1111	2689
343	1114	2686
344	1117	2682
345	1120	2678
346	1123	2675
347	1126	2671
348	1130	2668
349	1133	2664
350	1136	2661
351	1139	2658
352	1142	2654
353	1146	2651
354	1149	2648
355	1152	2645
356	1155	2641
357	1158	2637
358	1161	2634
359	1165	2631
360	1168	2627
361	1171	2624
362	1174	2621
363	1178	2618
364	1181	2614
365	1184	2611
366	1187	2608
367	1190	2605
368	1194	2601
369	1197	2598
370	1200	2594
371	1203	2591
372	1207	2588
373	1210	2585
374	1213	2582
375	1216	2579
376	1220	2575
377	1223	2573
378	1226	2569
379	1229	2566
380	1232	2562
381	1236	2559
382	1239	2556
383	1242	2552
384	1245	2549
385	1248	2546
386	1251	2542
387	1255	2539
388	1258	2535
389	1261	2532
390	1264	2528
391	1267	2525
392	1270	2521
393	1273	2518
394	1276	2514
395	1279	2511
396	1283	2507
397	1286	2504
398	1289	2500
399	1292	2497
400	1295	2494
401	1298	2490
402	1301	2487
403	1304	2484
404	1308	2480
405	1311	2477
406	1314	2474
407	1318	2471
408	1321	2468
409	1324	2464
410	1327	2461
411	1330	2457
412	1333	2454
413	1337	2451
414	1340	2447
415	1343	2445
416	1346	2441
417	1350	2439
418	1353	2435
419	1357	2433
420	1360	2429
421	1363	2426
422	1366	2423
423	1369	2419
424	1373	2416
425	1376	2413
426	1379	2410
427	1382	2406
428	1385	2403
429	1388	2399
430	1392	2396
431	1395	2393
432	1398	2389
433	1401	2386
434	1404	2383
435	1408	2380
436	1411	2377
437	1415	2374
438	1418	2371
439	1421	2368
440	1425	2365
441	1428	2362
442	1431	2359
443	1435	2356
444	1438	2353
445	1442	2350
446	1445	2348
447	1449	2345
448	1452	2342
449	1455	2339
450	1459	2336
451	1462	2333
452	1466	2330
453	1469	2327
454	1473	2324
455	1476	2321
456	1479	2318
457	1483	2315
458	1486	2312
