Model,ROC_AUC,Accuracy@0.5,F1@0.5
LGB,0.9959608642478598,0.9817142857142858,0.901060070671378
CAT,0.9953584997961679,0.9784489795918367,0.8865979381443299
XGB,0.9952583774969426,0.9776326530612245,0.8811795316565482
GBDT,0.9937947003668977,0.9748571428571429,0.8683760683760684
RF,0.9894203016714227,0.9603265306122449,0.8100078186082877
LR,0.9395737464329392,0.8644897959183674,0.540420819490587
DT,0.9280461475743988,0.9475918367346938,0.7458432304038005
NB,0.8228940888707705,0.7402448979591837,0.34875153499795336
SVM,0.5,0.08979591836734693,0.1647940074906367
MLP,0.5,0.08979591836734693,0.1647940074906367
