Model,Accuracy(thr=best_thr),F1(thr=best_thr),ROC_AUC
LGB,0.9831836734693877,0.904363974001857,0.9959608642478598
CAT,0.9802448979591837,0.8880666049953746,0.9953584997961679
XGB,0.978938775510204,0.8797763280521901,0.9952583774969426
GBDT,0.9769795918367347,0.8695652173913043,0.9937947003668977
RF,0.9678367346938775,0.8170844939647168,0.9894203016714227
LR,0.905469387755102,0.5831533477321814,0.9395737464329392
DT,0.950204081632653,0.7538337368845843,0.9280461475743988
NB,0.8176326530612245,0.3728242560359349,0.8228940888707705
SVM,0.9102040816326531,0.0,0.5
MLP,0.9102040816326531,0.0,0.5
