Model,ROC_AUC,Accuracy@0.5,F1@0.5
GBDT,0.9963665715450469,0.9808979591836735,0.8974583698510079
XGB,0.9960678353037098,0.9799183673469388,0.8927637314734089
LGB,0.9959589074602527,0.9817142857142858,0.901060070671378
CAT,0.9955538524256012,0.9777959183673469,0.8843537414965986
RF,0.9897346922136161,0.9611428571428572,0.8123028391167192
LR,0.9382985731757033,0.8680816326530613,0.5496098104793757
DT,0.9309661638809621,0.9467755102040817,0.7429022082018928
NB,0.8228947411333061,0.7402448979591837,0.34875153499795336
MLP,0.7179802690582959,0.6496326530612245,0.2620357634112792
SVM,0.5,0.08979591836734693,0.1647940074906367
